number,name,protein_group,ingredients,locations_count
929,HALSEY,Halal chicken,"Chicken (Halal), Italian Dressing, Avocado, Provolone",181
405,ERIN COSCARELLI,Halal chicken,"Chicken (Halal), Dirty Dressing, Purple Slaw, Avocado, Pepper Jack",105
111,MENAGE A TROIS,Halal chicken,"Chicken (Halal), Honey Mustard, BBQ Sauce, Real Honey, Pepper Jack, Swiss, Cheddar",105
99,WE'RE JUST FRIENDS,Halal chicken,"Chicken (Halal), Avocado, Zesty Orange Glaze, Pepper Jack",104
1999,"HEY NOW, YOU'RE AN ALLSTAR- Created With Smash Mouth",Halal chicken,"Chicken (Halal), Bacon, Red Pesto, Sriracha, Wasabi Mayo, Pepper Jack",102
106,THE NNEKANATOR - Created With Nneka Ogwumike,Halal chicken,"Chicken (Halal), Bacon, Buffalo Wing Sauce, Ranch, Gouda",104
1,ELVIS KIETH,Halal chicken,"Chicken (Halal), Teriyaki, Wasabi Mayo, Swiss",101
9,[NAME OF THE GIRL I'M DATING],Halal chicken,"Chicken (Halal), Honey Mustard, Avocado, Pepper Jack",98
30,BACKSTABBER,Halal chicken,"Chicken (Halal), Creamy Caesar, Marinated Artichoke Hearts, Provolone",97
6,HOT MOMMA HUDA,Halal chicken,"Chicken (Halal), Buffalo Wing Sauce, Ranch, Provolone",78
0.5,SPIFFY TIFFY,Halal chicken,"Chicken (Halal), Pesto, Mushrooms, Avocado, Pepper Jack, Provolone",18
49,THE 49ER,Halal chicken,"Halal Chicken, Buffalo Wing Sauce, Honey Mustard, Gouda",15
76,M.I.L.F,Halal chicken,"Chicken (Halal), Stuffed Jalapeno Poppers, Buffalo Wing Sauce, Ranch",14
51,RANDY JOHNSON,Halal chicken,"Chicken (Halal), Southwest Pesto, Mushrooms, Pepper Jack",12
44,ROBIN WILLIAMS,Halal chicken,"Chicken (Halal), Italian Dressing, Mushrooms, Pepper Jack",12
10,STEVE NASH,Halal chicken,"Chicken (Halal), Marinara, Provolone",12
16,JAKE THE SNAKE,Halal chicken,"Chicken (Halal), Bacon, Asian Sesame Dressing, Avocado, Provolone",10
7,PIZZLE,Halal chicken,"Chicken (Halal), Bacon, Ranch, Cheddar",9
176,COUGAR,Halal chicken,"Chicken (Halal), Buffalo Wing Sauce, Ranch, Mozzarella Sticks",8
10,RUM RUM,Halal chicken,"Chicken (Halal), Marinara, Provolone",8
107,IF I WERE CUTE!,Halal chicken,"Chicken (Halal), Bacon, Mozzarella Sticks, Pesto, Ranch, Cheddar",7
4,LIZZY'S LIPS,Halal chicken,"Chicken (Halal), Italian Dressing, Pepper Jack",7
30,SILICON VALLEY,Halal chicken,"Chicken (Halal), Creamy Caesar, Marinated Artichoke Hearts, Provolone",7
96,VIKINGS,Halal chicken,"Chicken (Halal), Red Pesto, Ranch, Pepper Jack",7
12,ANDREW LUCK,Halal chicken,"Chicken (Halal), Bacon, Italian Dressing, Avocado, Gouda",6
17,BULLDOGS,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",7
11,MOZZARELLA'S BIG CHEESE,Halal chicken,"Chicken (Halal), Honey Mustard, Real Honey, Provolone",6
17,MUSTANGS,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",6
182,PHIL MICKELSON,Halal chicken,"Chicken (Halal), Bacon, BBQ Sauce, Beer-Battered Onion Rings, Cheddar",12
427,ALARIC,Halal chicken,"Chicken (Halal), Green Chiles, Ranch, Cheddar",5
82,NOT TONIGHT I HAVE A HEADACHE,Halal chicken,"Chicken (Halal), Bacon, BBQ Sauce, Cheddar",5
66,DAMN STRAIGHT,Halal chicken,"Chicken (Halal), Mozzarella Sticks, Marinara",4
518,JEREMY'S FISH & CHIPS,Halal chicken,"Chicken (Halal), Bacon, Yellow BBQ Sauce, Mozzarella Sticks, Jalapeno Chips",4
10,CURTIS,Halal chicken,"Chicken (Halal), Marinara, Provolone",3
16,16TH & MARKET,Halal chicken,"Chicken (Halal), Bacon, Asian Sesame Dressing, Avocado, Provolone",2
110,DON'T F' WITH E. K.,Halal chicken,"Chicken (Halal), Teriyaki, Wasabi Mayo, Mushrooms, Swiss",2
312,JOE NAMATH,Halal chicken,"Chicken (Halal), Bacon, Asian Sesame Dressing, Provolone",2
17,MCCARRAN,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",2
17,SANCHEZ COLLEGE PREP,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",2
17,TIMBER WOLF,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",2
17,TOP GUN,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",2
789,YAEL UNIVERSITY,Halal chicken,"Chicken (Halal), Bacon, Real Honey, Honey Mustard, BBQ Sauce, Pepper Jack, Swiss, Cheddar",2
17,AARON ECKHART,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
443,BECCA GROSS HEARTS BECCA GROSS,Halal chicken,"Chicken (Halal), Bacon, BBQ Sauce, Sriracha, Cream Cheese",1
17,BISHOP RANCH,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
773,BLOND BOMBER (Fremont Exclusive),Halal chicken,"Chicken (Halal), Ike's Spicy Wing Sauce, Real Honey, Gouda",1
17,BOBCAT,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
576,CHARLOTTE KENSINGTON (Fresno Campus Pointe Exclusive),Halal chicken,"Chicken (Halal), Ike's Buffalo French Sauce, American",1
1229,DESERT ROSE,Halal chicken,"Chicken (Halal), BBQ Sauce, Honey Mustard, Habanero, Purple Slaw, Avocado, Cheddar, Pepper Jack",1
431,FESTUS EZELI,Halal chicken,"Chicken (Halal), BBQ Sauce, Real Honey, Habanero, Cheddar",1
17,FRISBIE,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
524,G-EAZY,Halal chicken,"Chicken (Halal), Red Pesto, Green Pesto, Ranch, Pepper Jack",1
90,GET OVER IT,Halal chicken,"Chicken (Halal), Honey Mustard, Avocado, Mozzarella Sticks",1
17,GOLDEN BEAR,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
599,GRAFFITI PETEY (Modesto Exclusive),Halal chicken,"Chicken (Halal), Ike's Sweet Wing Sauce, Pepper Jack",1
17,HILLCREST,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
452,IT'S NOT ME IT'S YOU,Halal chicken,"Chicken (Halal), Zesty Orange Glaze, Mozzarella Sticks, Avocado, Pepper Jack",1
733,JGL (Sherman Oaks Exclusive),Halal chicken,"Chicken (Halal), Ike's Mango Habanero Teriyaki, Swiss",1
17,MC HAMMER,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
96,MILLS VIKINGS,Halal chicken,"Chicken (Halal), Red Pesto, Ranch, Pepper Jack",1
16,MONTANA,Halal chicken,"Chicken (Halal), Bacon, Asian Sesame Dressing, Avocado, Provolone",1
795,SUMMERTIME IN THE LBC (LBX Exclusive),Halal chicken,"Chicken (Halal), Ike's Strong Beach Sauce, Beer-Battered Onion Rings, Cream Cheese",1
17,THE GAEL,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
701,THE GM (Fountain Valley Exclusive),Halal chicken,"Chicken (Halal), Ike's Spicy Teriyaki, Provolone",1
144,THE PALIN (Salinas Exclusive),Halal chicken,"Chicken (Halal), Chunky Blue Cheese Dressing, Buffalo Wing Sauce, Mozzarella Sticks",1
17,VAQUEROS,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
17,WASHINGTON PARK,Halal chicken,"Chicken (Halal), BBQ Sauce, Cheddar",1
411,WHAT HAPPENS AT IKE'S STAYS AT IKE'S,Halal chicken,"Chicken (Halal), Real Honey, Honey Mustard, BBQ Sauce, Avocado, Pepper Jack, Swiss, Cheddar",1
8675309,ZIVITY,Halal chicken,"Chicken (Halal) , Salami (Beef), Pesto, Honey Mustard, Pepper Jack",1
98,JAYMEE SIREWICH,Fried chicken,"Fried Chicken, Yellow BBQ Sauce, Ranch, Pepper Jack",105
422,BEAST MODE,Fried chicken,"Fried Chicken, Bacon, Spicy Beast Mode BBQ Sauce, Cheddar",103
201,ADAM RICHMAN,Fried chicken,"Fried Chicken, Ham, Pesto, Real Honey, Avocado, Swiss",102
1010,KP NASTY- Created With Kelsey Plum,Fried chicken,"Fried Chicken, BBQ Sauce, Honey Mustard, Purple Slaw, French Dressing, Cheddar",101
1337,MICHAEL CLIFFORD'S SIDEQUEST SANDWICH,Fried chicken,"Fried Chicken, Yellow BBQ Sauce, BBQ Sauce, Zesty Orange Glaze, Real Honey, Voodoo Chips, Pepper Jack",101
500,ARASH MARKAZI,Fried chicken,"Fried Chicken, Purple Slaw, Wasabi Mayo, Honey Mustard, Cheddar",16
126,MARK APPEL,Fried chicken,"Fried Chicken, Honey Mustard, BBQ Sauce, Real Honey, Pepper Jack, Swiss, Cheddar",13
2020,GONZO's GAME WINNER,Fried chicken,"Fried Chicken, Ham, Bacon, Real Honey, Avocado, Mozzarella Sticks",11
340,HARRISON PARMES,Fried chicken,"Fried Chicken, Marinara, Provolone",11
390,WONDER WOMAN,Fried chicken,"Fried Chicken, Honey Mustard, Pepper Jack",8
148,MRS ROBINSON,Fried chicken,"Fried Chicken, Buffalo Wing Sauce, Ranch, Provolone",6
1219,SPARTAN NATION,Fried chicken,"Fried Chicken, Zesty Orange Glaze, BBQ Sauce, Honey Mustard, Pepper Jack",6
139,ANCHOR MAN,Fried chicken,"Fried Chicken, Purple Slaw, American",5
399,PANDA PANDA PANDA,Fried chicken,"Fried Chicken, Zesty Orange Glaze, American",5
704,BETH TROUTMAN,Fried chicken,"Fried Chicken, Buffalo Wing Sauce, Ranch, Beer-Battered Onion Rings, Pepper Jack",4
481,FRIDAY THE 13th,Fried chicken,"Fried Chicken, Mango Habanero, Ranch, Pepper Jack",4
901,ACHILLES,Fried chicken,"Fried Chicken, Teriyaki, Wasabi Mayo, Sriracha, Gouda",3
190,KELLY KAPOWSKI,Fried chicken,"Fried Chicken, Honey Mustard, Avocado, Pepper Jack",3
1989,ALAMO ELEMENTRY,Fried chicken,"Fried Chicken, BBQ Sauce, Mushrooms, Mozzarella Sticks",2
814,BIG CAT,Fried chicken,"Fried Chicken, Bacon, Mozzarella Sticks, Honey, Avocado",2
475,FREDDY KRUEGER,Fried chicken,"Fried Chicken, Mango Habanero, Honey Mustard, Pepper Jack",2
612,MR. LUCKY,Fried chicken,"Fried Chicken, Bacon, Italian Dressing, Avocado, Gouda",2
213,NATE DOGG (Long Beach Exclusive),Fried chicken,"Fried Chicken, Ike's Habanero BBQ, American",2
426,STEAM ROLLER,Fried chicken,"Fried Chicken, Honey Mustard, Pesto",2
336,[YOUR SORORITY OR FRAT],Fried chicken,"Fried Chicken, Dirty Dressing, Pepper Jack",2
32,BAKESALE,Fried chicken,"Fried Chicken, Ranch, American",1
746,BLACKHAWK (Pleasanton Exclusive),Fried chicken,"Fried Chicken, Purple Slaw, Ike's Spicy Sycamore Sauce, Gouda",1
586,CAN I DRINK YOU A BUY? (Great Hills Exclusive),Fried chicken,"Fried Chicken, Ike's Orange Buffalo BBQ Sauce, Gouda",1
393,CARDINAL DIRECTION,Fried chicken,"Fried Chicken, Honey Mustard, Sriracha, Provolone",1
738,CHANGE OF PACE (Arrowhead Exclusive),Fried chicken,"Fried Chicken, Bacon, Ike's Peoria BBQ Sauce, Swiss",1
553,COOL KIDS (Chino Exclusive ),Fried chicken,"Fried Chicken, Ike's Wasabi Buffalo Sauce, Pepper Jack",1
587,COUNTING BLUE CARS (Santa Barbara Exclusive),Fried chicken,"Fried Chicken, Ike's Neon Orange Delicious Sauce, Pepper Jack",1
548,DIRE WOLF (Reno UNR Exclusive),Fried chicken,"Fried Chicken, Ike's Pizza Pesto, Provolone",1
515,FLORIBUNDA (Burlingame Exclusive),Fried chicken,"Fried Chicken, Ike's B-Game Sauce, Swiss",1
367,GIRLFRIEND STEALER,Fried chicken,"Fried Chicken, Marinated Artichoke Hearts, Creamy Caesar, Provolone",1
439,GOLDEN CANNONBALL (Dublin Exclusive),Fried chicken,"Fried Chicken, Ike's Sweet Caesar, Provolone",1
616,JIM PLUNKETT (Skyport Exclusive),Fried chicken,"Fried Chicken, Ike's Sweet Horseradish, Provolone",1
744,JOAN GIRARDI (El Segundo Exclusive),Fried chicken,"Fried Chicken, Ike's Second Sauce, Provolone",1
542,JOHN RITTER (Burbank Exclusive),Fried chicken,"Fried Chicken, Ike's Wasabi Honey Mustard, Provolone",1
559,LEELOO (Oakland Exclusive),Fried chicken,"Fried Chicken, Ike's Horseradish Wing Sauce, Purple Slaw, American",1
189,LEX LUTHOR,Fried chicken,"(Serves 2-4) Fried Chicken, Chicken Fried Steak, Steak, Mozzarella Sticks, French Dressing, American",1
375,LIZZIE MCGUIRE,Fried chicken,"Fried Chicken, Garlic & Herb Sauce, Pepper Jack",1
851,ONE TAKE CHARLIE (Culver City Exclusive),Fried chicken,"Fried Chicken, Ike's Southwest Pesto Ranch, Swiss",1
498,PHOENIX RACEWAY (Avondale Exclusive),Fried chicken,"Fried Chicken, Bacon, Ike's Cool Ranch Buffalo, Gouda",1
532,PLANT THIS! (The Plant Exclusive),Fried chicken,"Fried Chicken, Turkey, Ike's G.E. Sauce, American",1
596,ROOM 107 (Davis Exclusive),Fried chicken,"Fried Chicken, Ike's Aggie Sauce, American",1
626,ROWDY GOWDY,Fried chicken,"Fried Chicken, Honey Mustard, Pesto, Provolone",1
537,SHATTUCK (Berkeley Exclusive),Fried chicken,"Fried Chicken, Ike's Golden Bear Sauce, Provolone",1
594,SILVER SOX (Reno Summit Exclusive),Fried chicken,"Fried Chicken, Ike's Orange Wasabi Sauce, Swiss",1
404,SOUTHERN WESPOLALITY,Fried chicken,"Fried Chicken, Marinara, BBQ Sauce, Provolone",1
874,THE CRAZY CHICKEN (Costa Mesa Exclusive),Fried chicken,"Fried Chicken, Ike's Loco Chicken Sauce, Pepper Jack",1
621,THE ROS,Fried chicken,"Fried Chicken, Ranch, Zesty Orange Glaze, Real Honey, Purple Slaw",1
507,THE SUN DEVIL (Tempe ASU Exclusive),Fried chicken,"Fried Chicken, Ike's Sun Devil Sauce, American",1
979,THE TENTACLE,Fried chicken,"Fried Chicken, Avocado, Ike's Mango Orange Mustard, Swiss",1
566,THE TILLER (Tustin Exclusive),Fried chicken,"Fried Chicken, Jalapeno Relish, American",1
511,WILLOW (Concord Exclusive),Fried chicken,"Fried Chicken, Ike's Spicy Willow Sauce, Provolone",1
,CHICKEN STRIPS,Chicken (other),3 chicken tenders served with your choice up to 2 of sauces,102
146,JON PWS (Burlingame Exclusive),Chicken (other),"Chicken Pot Stickers, Zesty Orange Glaze, Purple Slaw",1
5577,JEFF GARCIA,Turkey,"Turkey, Bacon, Avocado, Ranch, Honey Mustard, Cheddar",105
18,MATT CAIN,Turkey,"Turkey, Roast Beef, Salami (Beef), Godfather Sauce, Provolone",105
2797,ROCKIN' ROENICK,Turkey,"Turkey, Chicken (Halal), Bacon, Red Pesto, Honey Mustard, Sriracha, Real Honey, Gouda",105
68,CHASE OTTNEY IS HELLA SEXY,Turkey,"Turkey, Provolone",103
34,THE HUNTER PENCE,Turkey,"Turkey, Bacon, Avocado, BBQ Sauce, Honey Mustard, Swiss, Cheddar, Pepper Jack",104
65,JIM ROME,Turkey,"Turkey, Red Pesto, Avocado, Cheddar",101
25,BARRY BONDS,Turkey,"Turkey, Bacon, Swiss",100
75,BARRY Z.,Turkey,"Turkey, Avocado, Provolone",96
118,DA VINCI,Turkey,"Turkey, Ham, Salami (Beef), Italian Dressing, Provolone",91
19,GOING HOME FOR THANKSGIVING,Turkey,"Turkey, Cranberry, Sriracha, Cheddar",55
6262,LOGAN WEBB,Turkey,"Turkey, Bacon, Beer-Battered Onion Rings, Godfather Sauce, Teriyaki, Avocado, Pepper Jack, Cheddar",31
55,LINCECUM,Turkey,"Turkey, Ham, Bacon, Avocado, Provolone",13
512,TONY HAWK,Turkey,"Turkey, Honey Mustard, Avocado, Provolone",12
43,GIANCARLO MY SON,Turkey,"Turkey, Cream Cheese, Pesto, Cucumbers, Avocado",10
341,JEREMY AFFELDT,Turkey,"Turkey, Ham, Roast Beef, Pastrami, Salami (Beef), Italian Dressing, Avocado, Provolone",10
262,MARSHALL'S CAJUN CLUB- Created With Marshall Faulk,Turkey,"Turkey, Bacon, Dirty Ranch, Cheddar, American",10
125,TERRELL DAVIS,Turkey,"Turkey, Bacon, Avocado, Swiss",10
333,STEPHAN JENKINS,Turkey,"Turkey, Pesto, Grilled Tomatoes, Provolone",9
319,RAWSON THURBER,Turkey,"Turkey, Bacon, Cranberry, Pepper Jack",8
714,AARON NUNEZ,Turkey,"Turkey, Bacon, Green Chiles, Pepper Jack",7
320,LINSANITY,Turkey,"Turkey, Godfather Sauce, Avocado, Voodoo Heat Chips, Provolone",7
19,TONY GWYNN,Turkey,"Turkey, Cranberry, Sriracha, Cheddar",7
943,STEVEN PRESSFIELD,Turkey,"Turkey, Ham, Salami (Beef), Godfather Sauce, Sriracha, Swiss",6
417,YOUR FAVORITE HO,Turkey,"Turkey, Red Pesto, Avocado, Mushrooms, Pepper Jack",6
125,756,Turkey,"Turkey, Bacon, Avocado, Swiss",3
35,BRANDON CRAWFORD,Turkey,"Turkey, Ranch, Avocado, Swiss",3
942,GIL MADE NJ?,Turkey,"Turkey, Ham, Salami (Beef), Bacon, Godfather, Ranch, Voodoo Heat Chips, Provolone",3
89,LET'S GO GIANTS!,Turkey,"Turkey, Bacon, Mushrooms, Avocado, Swiss",3
15,PRIDE OF CASTRO,Turkey,"Turkey, Ham, Provolone",3
345,STEPHEN HAWKING,Turkey,"Turkey, Bacon, Zesty Orange Glaze, Pepper Jack",3
75,B. WALSH,Turkey,"Turkey, Avocado, Provolone",2
195,CAT WOMAN,Turkey,"Turkey, Honey Mustard, Pepper Jack",2
1123,COPERNICUS,Turkey,"Turkey, Red Pesto, Spinach, Swiss",2
777,DAN ASHLEY,Turkey,"Turkey, Avocado, (Light) Godfather, Provolone",2
159,"FAKE HUNDRED DOLLAR BILLS, Y'ALL",Turkey,"Turkey, Ham, Pesto, Cream Cheese",2
26,JERIES' BIG MEAT SANDWICH,Turkey,"Turkey, Ham, Roast Beef, Pastrami, Salami (Beef), Provolone",2
947,KELLYBELLY,Turkey,"Turkey, Mushrooms, Steak Sauce, Avocado, Gouda",2
25,KERRI WALSH,Turkey,"Turkey, Bacon, Swiss",2
438,PIONEERS,Turkey,"Turkey, Ham, Bacon, Strawberry Preserves, Swiss",2
191,TED DANSON,Turkey,"Turkey, Purple Slaw, French Dressing, Swiss",2
333,ALICE GRECZYN,Turkey,"Turkey, Pesto, Grilled Tomatoes, Provolone",1
437,BACON-SIDE OF YOU,Turkey,"Turkey, Bacon, Pesto, Grilled Tomatoes, Provolone",1
958,BOB BRADLEY,Turkey,"Turkey, Red Pesto, Ranch, Provolone",1
408,CHRIS WONDOLOWSKI,Turkey,"Turkey, Salami (Beef), Godfather Sauce, Habanero, Avocado, Provolone",1
68,Chase Ottney Super Meal Deal,Turkey,Turkey and Provolone Cheese,1
1125,DR. JOHN DEMARTINI,Turkey,"Turkey, Zesty Orange Glaze, Swiss",1
638,GOLDEN BOY,Turkey,"Turkey, Ham, Avocado, Strawberry Preserves, Swiss",1
1850,GOLDEN STATE OF MIND (Polk St. Exclusive),Turkey,"Turkey, Ham, Peppadew Peppers, Cream Cheese",1
164,GRIFFSTICK,Turkey,"Turkey, Roast Beef, Salami (Beef), Bacon, Griff Sauce, Avocado",1
894,HALE-WOLF (Corona Exclusive),Turkey,"Turkey, Ham, Bacon, Ike's Lemon Citrus Sauce, Swiss, Cheddar",1
409,HUGH HEFNER,Turkey,"Turkey, Roast Beef, Godfather Sauce, Provolone",1
232,JEANETTE POHLEN,Turkey,"Turkey, Pastrami, Bacon, Honey Mustard, Avocado, Pepper Jack",1
25,JOHN ELWAY,Turkey,"Turkey, Bacon, Swiss",1
121,JOSE CANSECO,Turkey,"Turkey, Bacon, Creamy Caesar, Provolone",1
822,JUICEMAN,Turkey,"Turkey, Bacon, BBQ Sauce, Red Pesto, Cheddar, Pepper Jack",1
255,JUNIOR SEAU (Hillcrest Exclusive),Turkey,"Turkey, Roast Beef, Bacon, Ike's Seau Sauce, Swiss",1
545,LIMERICK (San Ramon Exclusive),Turkey,"Turkey, Ham, Ike's Honey Habanero, Pepper Jack",1
348,MANRESA (Hillsdale Exclusive),Turkey,"Turkey, Roast Beef, Dirty Mustard, Provolone",1
218,MATT CAIN: WORLD CHAMPIONSHIP EDITION,Turkey,"Turkey, Roast Beef, Salami (Beef), Godfather Sauce, Mozzarella Stick, Beer-Battered Onion Rings, Avocado, Provolone",1
881,MY JOCKEY (Marina Del Rey Exclusive),Turkey,"Turkey, Ham, Salami (Beef), Ike's Port Ballona Buffalo Sauce, Pepper Jack",1
434,NOLAN RYAN,Turkey,"Turkey, Ham, Bacon, Avocado, Mozzarella Sticks",1
347,PHIL HELMUTH,Turkey,"Turkey, Avocado, Asian Sesame Dressing, Provolone",1
440,RAPPIN' 4-TAY'S PLAY'S PLAYAZ CLUB (Polk St. Exclusive),Turkey,"Turkey, Peppadew Peppers, Spinach, Pepper Jack",1
827.1,RKITYCAT (San Leandro Exclusive),Turkey,"Turkey, Fried Zucchini, Ike's Bay Fair Pesto, Ranch, Avocado, Pepper Jack",1
64,ROBERT LOUIS STEVENSON (Monterey Exclusive),Turkey,"Turkey, Bacon, Ike's Red Pepper Pesto, Provolone",1
574,ROBIN HOOD (Westgate Exclusive),Turkey,"Turkey, Ham, Ike's Green Chile Aioli, Provolone",1
394,THE CONTESSA,Turkey,"Turkey, Avocado, Honey Mustard, French Dressing, Cheddar",1
2502,THE MOY THE BETTER,Turkey,"Turkey, Avocado, Mushrooms, Red Pesto, Ranch, Provolone",1
852,WHAT'S MY AGE AGAIN (Poway Exclusive),Turkey,"Turkey, Bacon, Avocado, Ike's Paguay Sauce, Pepper Jack",1
551,WILSON'S HOTEL (Vacaville Exclusive),Turkey,"Turkey, Ham, Ike's Pesto Caesar, Provolone",1
150,DIRTY REUBEN,Roast beef,"Roast Beef, Dirty Dressing, Purple Slaw, American",93
155,NACHO BOY SUPREME,Roast beef,"Roast Beef, Bacon, Mushrooms, Avocado, Swiss",28
5,NACHO BOY,Roast beef,"Roast Beef, Mushrooms, Avocado, Swiss",16
142,TILLMAN,Roast beef,"Roast Beef, Mushrooms, Mozzarella Sticks",16
700,ALICE COOPER'S SOLID ROCK,Roast beef,"Roast Beef, French Dressing, Swiss",8
1011,DYLAN MCKAY,Roast beef,"Roast Beef, Bacon, Dirty Dressing, American",8
242,PHIL'ER UP KC BBQ,Roast beef,"Roast Beef, BBQ Sauce, Cheddar",8
95,THAT'S HELLA TRUE,Roast beef,"Roast Beef, Marinated Artichoke Hearts, Provolone",7
135,BRUCE WAYNE,Roast beef,"Roast Beef, Steak Sauce, Swiss",4
45,PATRICK MARLEAU,Roast beef,"Roast Beef, Bacon, Creamy Horseradish, Sriracha, Provolone",4
74,GO A'S,Roast beef,"Roast Beef, Godfather Sauce, Cheddar",2
45,AL DAVIS,Roast beef,"Roast Beef, Bacon, Creamy Horseradish, Sriracha, Provolone",1
477,CASTLE ISABEL (HIGHLANDS RANCH EXCLUSIVE),Roast beef,"Roast Beef, Bacon, Creamy Honey BBQ, Cheddar",1
113,CODY ROSS,Roast beef,"Roast Beef, Pesto, Avocado, American",1
797,DIRTY D (Brentwood Exclusive),Roast beef,"Roast Beef, Ike's Mango Honey BBQ Sauce, Purple Slaw, Pepper Jack",1
133,EASTWOOD,Roast beef,"Roast Beef, Yellow BBQ, Beer-Battered Onion Rings, Swiss",1
891,ELIZABETH IMBRIE (Brentwood Exclusive),Roast beef,"Roast Beef, Ike's Mango Honey BBQ Sauce, Purple Slaw, Pepper Jack",1
383,FEAR & LOATHING (Salinas Exclusive),Roast beef,"Roast Beef, Bacon, Chunky Blue Cheese Dressing",1
987,HOLLYWOO (Hollywood Exclusive),Roast beef,"Roast Beef, Turkey, Ike's Sweet Sticky BBQ Sauce, Cheddar",1
882,IKE'S PEAK (COLORADO SPRINGS EXCLUSIVE),Roast beef,"Roast Beef, Turkey, Salami, Tangy Italian Dressing, Pepper Jack",1
589,JIMMY & CHRISTY (Sunset Valley Exclusive),Roast beef,"Roast Beef, Ike's Flaming BBQ Sauce, Pepper Jack",1
200,KRYPTONITE,Roast beef,"(Serves 2-4) Roast Beef, Pastrami, Turkey, Ham, Salami (Beef), Bacon, Mozzarella Sticks, Stuffed Jalapeno Poppers, Beer-Battered Onion Rings, Pesto, Avocado, Pepper Jack",1
326,"LARRY PAGE & I HAVE THE SAME BIRTHDAY, SO I BASICALLY INVENTED GOOGLE TOO. (Mountain View Exclusive)",Roast beef,"Roast Beef, Ike's Foxfire Sauce, Pepper Jack",1
768,PRO JOE (Carson Exclusive),Roast beef,"Roast Beef, Bacon, Ike's Carson Sauce, Provolone",1
590,RUNNING BRUSHY (Cedar Park Exclusive),Roast beef,"Roast Beef, Ike's SF BBQ Sauce, Green Chiles, Pepper Jack",1
861,SMELLS LIKE TINO SPIRIT (Cupertino Exclusive),Roast beef,"Roast Beef, Mushrooms, Ike's Dark Horse Sauce, Provolone",1
941,SOARING HEIGHTS - HEIGHTS EXCLUSIVE,Roast beef,"Roast Beef, Pastrami, Pinkerton BBQ Glaze, Provolone",1
74,THE DIAMONDBACK,Roast beef,"Roast Beef, Godfather Sauce, Cheddar",1
816,THE HOUSTON SAM - HOUSTON EXCLUSIVE,Roast beef,"Roast Beef, Pastrami, Pinkerton BBQ Aioli, Pepper Jack",1
556,THE STRUCTURE OF MAGIC (Santa Cruz Exclusive),Roast beef,"Roast Beef, Ike's Boardwalk Mustard, French Dressing, American",1
552,TRIATHLON (San Diego Midway Exclusive),Roast beef,"Roast Beef, Turkey, Ike's Spicy Red Caesar, Provolone",1
860,TUCKNASTY,Roast beef,"Roast Beef, Cheddar",1
1818,WILD BILL,Roast beef,"Roast Beef, Bacon, Buffalo Wing Sauce, BBQ Sauce, Cream Cheese",1
240,MADISON BUMGARNER,Steak & beef,"Steak, Yellow BBQ Sauce, (Light) Habanero, Pepper Jack, American",105
2,HOLLYWOULD'S SF CHEESESTEAK,Steak & beef,"Steak, Mushrooms, Provolone",104
957,THE DAMON BRUCE,Steak & beef,"Steak, Steak Sauce, Beer-Battered Onion Rings, Provolone",103
2929,J MAC- Created With Ja'Quan McMillian,Steak & beef,"Steak, Godfather Sauce, Dirty Dressing, American, Provolone",101
840,MILLENNIAL FALCONS,Steak & beef,"Chicken Fried Steak, BBQ Sauce, Ranch, Pepper Jack",28
349,THE SABERCAT,Steak & beef,"Chicken Fried Steak, Bacon, Yellow BBQ, Ranch, Cheddar",17
3003,EKELER'S SANDWICH,Steak & beef,"Steak, Wasabi Mayo, Godfather Sauce, Pepper Jack",11
40,FORTY?!,Steak & beef,"Chicken Fried Steak, Ranch, Cheddar",11
65.5,XR4TI,Steak & beef,"Steak, Bacon, BBQ Sauce, Honey Mustard, Onion Rings, Cheddar",11
722,TREBEK,Steak & beef,"Chicken Fried Steak, Dirty Dressing, Pepper Jack",10
346,JOHN WAYNE,Steak & beef,"Steak, Dirty Dressing, American",9
1208,COUGAR DEN,Steak & beef,"Chicken Fried Steak, Real Honey, Honey Mustard, BBQ Sauce, Pepper Jack, Swiss, Cheddar",6
782,DARK LANTERN,Steak & beef,"Steak, Bacon, Godfather Sauce, Green Chiles, Gouda",6
181,WOLVERINE,Steak & beef,"Chicken Fried Steak, Honey Mustard, Mango Habanero, Pepper Jack",6
140,40-YEAR-OLD VIRGIN,Steak & beef,"Chicken Fried Steak, Marinara, Ranch, Mozzarella Sticks",4
